Score,country,User's lifetime number of transactions,User's language,User is referred? (1=True/0=False),Seconds between user's first booking date and created_at,User's address_status_id,USer's identity_status_id,User's lifetime number of referrals
10,1,0,1,0,,1,1,0
10,2,0,4,0,432,1,2,0
1,3,0,1,0,1672,3,3,0
10,3,0,4,0,26520408,2,3,2
10,3,0,4,0,254634,1,3,0
10,4,0,1,0,,3,3,0
10,4,0,1,0,,3,3,0
10,5,0,1,0,412,2,2,2
5,6,0,3,0,1712,2,3,0
6,7,0,4,0,12571709,2,3,0
8,,0,1,0,,1,1,0
10,,0,1,0,,1,1,0
10,,0,1,0,,1,1,0
10,,0,1,0,,1,1,0
9,8,1,1,1,81128,1,3,1
10,9,1,1,1,242257,3,3,0
7,10,1,1,0,762,1,3,0
3,3,1,1,0,2277,1,3,0
4,3,1,3,1,408,1,3,0
5,3,1,1,0,3646,3,3,0
5,3,1,2,0,783,1,3,0
6,3,1,1,1,470,3,2,0
7,3,1,2,0,118031,1,2,0
7,3,1,5,0,583890,3,3,0
8,3,1,3,0,673,3,2,0
9,3,1,2,0,435,3,3,1
10,3,1,1,0,1001,3,2,0
10,3,1,1,0,677423,3,3,0
10,3,1,2,0,623888,1,2,0
10,3,1,4,0,344,1,3,0
10,3,1,2,0,1385059,1,3,0
10,3,1,2,0,1313708,1,3,0
10,3,1,2,0,1455,1,3,0
10,3,1,3,1,1785,1,2,0
10,3,1,1,0,2600,3,3,0
10,3,1,2,1,9103188,1,2,1
10,3,1,4,0,23709827,1,3,0
10,3,1,1,0,572,1,2,0
10,3,1,1,0,1034,2,3,0
10,3,1,3,0,2214001,1,3,0
10,3,1,2,1,1670,3,3,0
10,3,1,5,0,1055,3,2,0
10,3,1,2,0,153600,3,2,0
10,3,1,3,0,238,1,3,0
10,3,1,2,1,812,1,2,0
10,3,1,3,1,195304,2,3,0
10,11,1,2,0,56263,1,3,0
10,11,1,2,1,4500,1,3,0
10,12,1,3,0,2505003,3,3,0
8,4,1,2,0,465,1,2,0
10,4,1,2,0,9226835,1,3,1
10,4,1,2,0,1121960,1,2,0
10,4,1,2,0,1436,1,2,0
10,4,1,2,0,429,2,3,0
